@Relation artdata2_norm.arff
@ATTRIBUTE  a0  NUMERIC
@ATTRIBUTE  a1  NUMERIC
@ATTRIBUTE  a2  NUMERIC
@ATTRIBUTE  a3  NUMERIC
@ATTRIBUTE  a4  NUMERIC
@ATTRIBUTE class {1,2,3,4,5}


@DATA
7.01479294598,8.72830857014,5.62512172159,8.82688642562,7.85259214319,2
4.08968782175,4.73803989537,3.71376701981,2.68893140345,2.8057063809,1
9.61326630628,7.99308649031,7.39555191943,7.74690509972,8.67162984209,2
11.1882557884,11.7826804736,12.8215163463,13.8601223367,12.9737510321,3
21.0237346035,21.0187889214,19.3081971381,18.6302177655,19.1478754957,5
16.0180480083,16.6757376902,17.0826560828,16.5280831486,15.9968104728,4
4.83067178684,3.6018200316,3.38849176481,3.75643108122,3.4474475153,1
14.9602297822,17.3372304544,14.6605450028,16.1803563883,17.7062158183,4
11.9173132561,10.5406704526,10.4952309766,14.8256013458,11.8180420176,3
16.780786098,16.4973487001,15.7666628199,15.2528100074,14.968960046,4
22.0659471767,18.8898724654,20.8028418314,20.9314792846,20.3840693919,5
12.5076627966,12.917885313,11.0697147976,11.8999825381,9.82621100722,3
16.2375633468,17.530141964,17.6106226151,15.6429472241,17.2928826348,4
16.7921531931,15.6221200035,15.8825992553,15.0690481896,14.1912019133,4
4.4655043496,2.52260921293,4.35263548846,4.67091299002,3.38345599134,1
5.37291229595,3.03636672163,3.76056333781,1.96908526874,3.19417934732,1
19.5935167311,21.4086660806,20.0140808064,19.1195744074,19.699749019,5
12.1668841925,13.476230492,13.1236752368,9.82190261431,11.7866009466,3
20.8450450229,20.0405283908,19.3802729434,20.1119577035,20.5657425255,5
15.2555310053,17.0944079995,17.39344615,17.2145683845,18.5817458363,4
7.76047311779,9.31027420515,8.95300191294,7.06466760394,9.09073517563,2
5.13467594426,2.34567734488,2.66560695986,3.04540851262,3.40913617845,1
15.8836294877,16.993737918,15.4088483392,15.9757022645,14.4610436815,4
11.1977170796,12.6093048919,11.9330183049,11.0212253451,12.5621247029,3
19.8438833104,19.4817077569,22.4386502704,21.3189918113,20.0657284408,5
19.4472911725,20.7546198078,20.0828970702,18.8763924312,21.0137529328,5
16.140498149,16.2809041791,16.2150929904,15.8478993408,16.1799296917,4
12.6400893405,10.7240997746,12.5620157456,11.0000632955,11.1346549656,3
11.6127542599,12.6305366689,11.4340318359,12.1108934499,11.5143134542,3
20.2082617071,21.5855002312,18.2198008753,21.0314015901,21.2789355969,5
7.78588104415,7.6140363886,8.28430992814,7.05894908289,8.10273467367,2
13.2429787851,15.1832149913,14.7310396393,16.4904610078,16.9669269047,4
15.8835681016,16.092075908,16.1426804302,16.3770804643,15.6791279421,4
16.1330765465,17.8115014329,14.6156545001,16.3209764834,15.0276531597,4
4.29887143699,3.87417064468,4.06152724286,5.63672241686,3.20386421073,1
8.00485991457,8.74955168296,7.69147390359,6.76048812282,7.63101504097,2
7.67187017815,6.49334327781,6.7055388376,6.39055595409,8.2829159904,2
9.13909862369,9.40130195624,7.99510787237,9.42317643811,8.17342803349,2
14.9551017049,15.3480304098,15.7921796229,15.764265892,16.5312043793,4
7.27463175156,8.01776713601,8.11629222499,6.25987258288,7.05816432781,2
7.03199232992,6.35418713148,7.59688675734,9.51256696348,7.57974267499,2
15.3737061474,17.3678122756,14.4140652229,17.0154892106,16.5963590445,4
7.82708197511,7.98567365452,7.46080111987,5.76118770243,8.34682858947,2
19.2473591351,17.6726092942,20.9501753157,21.8683945281,19.4476505671,5
18.3914974746,20.3237791553,20.5149502147,19.4859079205,19.6926198418,5
3.40855918655,4.37232263609,3.56907549793,3.66146258738,4.28354970632,1
3.64746607585,3.12301725945,3.4593618161,5.87047503658,3.29766586226,1
12.8790059633,11.8150048006,12.3821514932,11.1325129946,12.7709551121,3
4.02692230254,1.92510297778,4.25460734137,4.23667576407,5.72606326587,1
3.53689004205,2.81291426662,3.94333538308,6.25753175213,3.83758182379,1
19.0936975527,19.4211939942,21.2465727431,20.3675984934,19.693824301,5
11.5506386136,13.3399744349,9.96583084791,13.8260796798,12.2529275242,3
3.45646295004,4.27448413409,3.79205995616,3.13544873036,4.10729191974,1
15.0765558993,14.9303322125,16.3062110917,17.4726536815,15.2491930319,4
16.3743233186,15.0447632953,16.4245114071,16.4119713897,15.2232364183,4
5.22792636702,5.84635530153,4.3173032501,2.25370588235,4.8499328588,1
7.75562653823,8.43391714745,8.71588149035,6.92714060958,7.81138327341,2
11.7859989606,13.2271602445,10.5928298665,12.6353546951,12.6662440399,3
3.32479766235,4.53888687551,3.65803609466,3.42333434307,5.34340563833,1
7.27773413291,6.51171774745,9.80916490638,9.01508701888,8.27009949838,2
5.52011442817,4.13133704825,3.97874276602,4.91405983546,6.1544021946,1
17.0857964338,14.7995270428,16.6600044293,17.7810800565,15.7635228407,4
10.5809468432,7.4576267288,8.99116005647,8.21600651735,8.82536133722,2
8.49163746728,7.86637345705,7.79207869044,6.5823259094,8.32176621652,2
5.14823601447,3.10855505108,3.36291352773,4.09113157722,2.80339054657,1
18.7613880398,16.0971546479,15.1645609017,15.699075118,13.8131478243,4
14.8710316116,14.9623555388,13.8955141329,15.3972088377,17.9139416228,4
16.2032955326,16.0055995447,16.5230727509,15.3870592559,15.9480138257,4
8.71238707302,9.26024466227,9.17243430157,7.96565045322,8.94017261712,2
2.83130473071,4.27118073489,4.2468019794,3.87831338167,4.86195431856,1
11.241206268,10.7533449958,12.7757825294,13.3333777753,12.7438658644,3
14.3826182936,17.2893191484,15.7787746309,16.5023924547,16.0553986325,4
18.0431203819,19.7765624919,20.5916936457,20.6008799345,20.289938025,5
12.9991913494,11.1292142614,12.6621971738,11.7844554597,11.5822642474,3
6.52187751514,3.10509948808,4.98808715243,4.75069921898,6.50087370336,1
5.06105952592,3.09762813309,5.43938134228,3.95757379674,2.51029271238,1
12.1526522419,10.1353458731,12.0249297067,11.1130952951,10.665849338,3
19.7457638384,21.2573376947,19.2433138229,18.2618569344,20.0111728,5
3.44306795065,4.16736598258,3.72636221466,5.12918606992,3.76094136899,1
3.70569006219,3.16262872784,5.37218060399,4.24966558826,3.83037606586,1
3.29810989198,5.98924540463,4.52971201981,4.5019633777,3.7563475263,1
8.60449886345,9.15368375562,7.69876097317,8.48479993687,7.42867052359,2
4.26143305525,2.78566269653,2.62690511359,3.32114891034,5.77277266079,1
15.4800327884,18.0945313907,15.2644980185,16.1887589074,15.8436685509,4
4.67128740922,4.54517417538,4.84006757362,3.41981828737,2.9474312188,1
